Img_Label,Val
06-08 10.29.03.jpg_Top,540
06-08 10.29.03.jpg_Left,1180
06-08 10.29.03.jpg_Width,114
06-08 10.29.03.jpg_Height,126
03-10 11.21.16.jpg_Top,40
03-10 11.21.16.jpg_Left,40
03-10 11.21.16.jpg_Width,456
03-10 11.21.16.jpg_Height,504
02-25 13.32.33.jpg_Top,920
02-25 13.32.33.jpg_Left,1240
02-25 13.32.33.jpg_Width,114
02-25 13.32.33.jpg_Height,126
04-24 04.19.02.jpg_Top,180
04-24 04.19.02.jpg_Left,340
04-24 04.19.02.jpg_Width,114
04-24 04.19.02.jpg_Height,126
03-16 04.32.03.jpg_Top,0
03-16 04.32.03.jpg_Left,340
03-16 04.32.03.jpg_Width,114
03-16 04.32.03.jpg_Height,126
03-08 11.43.24.jpg_Top,320
03-08 11.43.24.jpg_Left,780
03-08 11.43.24.jpg_Width,114
03-08 11.43.24.jpg_Height,126
03-03 01.06.01.jpg_Top,120
03-03 01.06.01.jpg_Left,720
03-03 01.06.01.jpg_Width,114
03-03 01.06.01.jpg_Height,126
08-12 10.02.54.jpg_Top,160
08-12 10.02.54.jpg_Left,720
08-12 10.02.54.jpg_Width,114
08-12 10.02.54.jpg_Height,126
02-15 12.12.21.jpg_Top,100
02-15 12.12.21.jpg_Left,400
02-15 12.12.21.jpg_Width,114
02-15 12.12.21.jpg_Height,126
03-02 01.14.45.jpg_Top,20
03-02 01.14.45.jpg_Left,60
03-02 01.14.45.jpg_Width,456
03-02 01.14.45.jpg_Height,504
06-08 12.54.53.jpg_Top,180
06-08 12.54.53.jpg_Left,60
06-08 12.54.53.jpg_Width,228
06-08 12.54.53.jpg_Height,252
08-13 15.51.38.jpg_Top,580
08-13 15.51.38.jpg_Left,0
08-13 15.51.38.jpg_Width,114
08-13 15.51.38.jpg_Height,126
03-02 01.20.10.jpg_Top,320
03-02 01.20.10.jpg_Left,660
03-02 01.20.10.jpg_Width,114
03-02 01.20.10.jpg_Height,126
08-27 12.41.13.jpg_Top,100
08-27 12.41.13.jpg_Left,600
08-27 12.41.13.jpg_Width,114
08-27 12.41.13.jpg_Height,126
01-30 12.04.51.jpg_Top,220
01-30 12.04.51.jpg_Left,300
01-30 12.04.51.jpg_Width,114
01-30 12.04.51.jpg_Height,126
03-17 12.27.00.jpg_Top,360
03-17 12.27.00.jpg_Left,500
03-17 12.27.00.jpg_Width,114
03-17 12.27.00.jpg_Height,126
03-01 10.01.10.jpg_Top,240
03-01 10.01.10.jpg_Left,240
03-01 10.01.10.jpg_Width,126
03-01 10.01.10.jpg_Height,114
05-20 11.43.03.jpg_Top,300
05-20 11.43.03.jpg_Left,840
05-20 11.43.03.jpg_Width,114
05-20 11.43.03.jpg_Height,126
02-25 15.58.25.jpg_Top,40
02-25 15.58.25.jpg_Left,560
02-25 15.58.25.jpg_Width,228
02-25 15.58.25.jpg_Height,252
02-24 05.19.55.jpg_Top,400
02-24 05.19.55.jpg_Left,880
02-24 05.19.55.jpg_Width,114
02-24 05.19.55.jpg_Height,126
01-25 11.35.56.jpg_Top,520
01-25 11.35.56.jpg_Left,360
01-25 11.35.56.jpg_Width,114
01-25 11.35.56.jpg_Height,126
02-25 16.21.01.jpg_Top,40
02-25 16.21.01.jpg_Left,1580
02-25 16.21.01.jpg_Width,114
02-25 16.21.01.jpg_Height,126
03-17 12.29.28.jpg_Top,120
03-17 12.29.28.jpg_Left,420
03-17 12.29.28.jpg_Width,228
03-17 12.29.28.jpg_Height,252
05-20 09.41.06.jpg_Top,820
05-20 09.41.06.jpg_Left,700
05-20 09.41.06.jpg_Width,114
05-20 09.41.06.jpg_Height,126
08-10 17.07.24.jpg_Top,580
08-10 17.07.24.jpg_Left,540
08-10 17.07.24.jpg_Width,114
08-10 17.07.24.jpg_Height,126
08-22 10.22.56.jpg_Top,280
08-22 10.22.56.jpg_Left,920
08-22 10.22.56.jpg_Width,114
08-22 10.22.56.jpg_Height,126
01-29 12.59.26.jpg_Top,580
01-29 12.59.26.jpg_Left,420
01-29 12.59.26.jpg_Width,114
01-29 12.59.26.jpg_Height,126
02-20 10.01.55.jpg_Top,300
02-20 10.01.55.jpg_Left,660
02-20 10.01.55.jpg_Width,114
02-20 10.01.55.jpg_Height,126
08-20 12.05.21.jpg_Top,220
08-20 12.05.21.jpg_Left,220
08-20 12.05.21.jpg_Width,228
08-20 12.05.21.jpg_Height,252
01-22 01.19.57.jpg_Top,0
01-22 01.19.57.jpg_Left,760
01-22 01.19.57.jpg_Width,114
01-22 01.19.57.jpg_Height,126
02-19 01.40.48.jpg_Top,40
02-19 01.40.48.jpg_Left,160
02-19 01.40.48.jpg_Width,456
02-19 01.40.48.jpg_Height,504
05-08 11.13.32.jpg_Top,260
05-08 11.13.32.jpg_Left,1180
05-08 11.13.32.jpg_Width,114
05-08 11.13.32.jpg_Height,126
02-25 15.17.37.jpg_Top,940
02-25 15.17.37.jpg_Left,540
02-25 15.17.37.jpg_Width,114
