Img_Label,Val
02-25 15.17.37.jpg_Top,80
02-25 15.17.37.jpg_Left,530
02-25 15.17.37.jpg_Width,112
02-25 15.17.37.jpg_Height,128
05-20 11.54.07.jpg_Top,310
05-20 11.54.07.jpg_Left,950
05-20 11.54.07.jpg_Width,56
05-20 11.54.07.jpg_Height,64
03-10 03.16.32.jpg_Top,80
03-10 03.16.32.jpg_Left,450
03-10 03.16.32.jpg_Width,112
03-10 03.16.32.jpg_Height,128
08-25 14.02.52.jpg_Top,220
08-25 14.02.52.jpg_Left,1000
08-25 14.02.52.jpg_Width,56
08-25 14.02.52.jpg_Height,64
03-09 05.03.00.jpg_Top,240
03-09 05.03.00.jpg_Left,690
03-09 05.03.00.jpg_Width,56
03-09 05.03.00.jpg_Height,64
03-17 12.27.32.jpg_Top,20
03-17 12.27.32.jpg_Left,200
03-17 12.27.32.jpg_Width,224
03-17 12.27.32.jpg_Height,256
08-23 15.53.37.jpg_Top,250
08-23 15.53.37.jpg_Left,1040
08-23 15.53.37.jpg_Width,56
08-23 15.53.37.jpg_Height,64
03-17 12.30.12.jpg_Top,50
03-17 12.30.12.jpg_Left,820
03-17 12.30.12.jpg_Width,56
03-17 12.30.12.jpg_Height,64
04-04 12.39.12.jpg_Top,640
04-04 12.39.12.jpg_Left,570
04-04 12.39.12.jpg_Width,56
04-04 12.39.12.jpg_Height,64
06-07 14.16.26.jpg_Top,840
06-07 14.16.26.jpg_Left,1070
06-07 14.16.26.jpg_Width,56
06-07 14.16.26.jpg_Height,64
05-20 13.04.22.jpg_Top,820
05-20 13.04.22.jpg_Left,560
05-20 13.04.22.jpg_Width,56
05-20 13.04.22.jpg_Height,64
01-22 11.33.13.jpg_Top,620
01-22 11.33.13.jpg_Left,910
01-22 11.33.13.jpg_Width,56
01-22 11.33.13.jpg_Height,64
01-29 11.18.42.jpg_Top,190
01-29 11.18.42.jpg_Left,330
01-29 11.18.42.jpg_Width,56
01-29 11.18.42.jpg_Height,64
08-22 11.46.25.jpg_Top,60
08-22 11.46.25.jpg_Left,580
08-22 11.46.25.jpg_Width,112
08-22 11.46.25.jpg_Height,128
02-20 09.51.05.jpg_Top,210
02-20 09.51.05.jpg_Left,870
02-20 09.51.05.jpg_Width,56
02-20 09.51.05.jpg_Height,64
02-20 10.00.38.jpg_Top,200
02-20 10.00.38.jpg_Left,230
